

 + Main results

   HIT=	57,8 	MPa *not real
   EIT=	24 	GPa *not real
   E*=	2	GPa *not real

 + Hypothesis

   Poisson's ratio(nu)=	0,1 

 + Additional results

   HVIT=	 	 Vickers
   CIT	3,29 	%
   nIT=	
   Fmax=	1,00 	mN
   hmax=	0,8
   S=	=
   F/S²=	==
   hc= 100 	nm
   hr=	85 	nm
   hp=	61 	nm
   m=	1,7323 
   Epsilon=	0,74 
   R2=	0,999
   Ap=	109 	nm²
   Welast=	5,68 pJ
   Wplast=	25,79 pJ
   Wtotal=	31,47 pJ
   Er=	220 	GPa

Measured values
Time (s)	Pd (nm)	Fn (mN)	FnRef (mN)	SegmentID
45,937	76,898	0,6368	0,5003	3
46,0017	76,8666	0,6346	0,5003	3
46,0664	76,848	0,6325	0,5003	3
46,1311	76,8299	0,6303	0,5003	3
46,7781	76,6061	0,6088	0,5003	3
46,8428	76,5799	0,6066	0,5003	3
46,9075	76,5609	0,6045	0,5003	3
46,9722	76,553	0,6024	0,5003	3
47,0369	76,5331	0,6002	0,5003	3
47,878	76,2181	0,5721	0,5003	3
47,9427	76,1971	0,57	0,5003	3
48,0074	76,1812	0,5678	0,5003	3
48,0721	76,169	0,5656	0,5003	3
48,1368	76,1448	0,5635	0,5003	3
48,2015	76,1118	0,5614	0,5003	3
49,0426	75,7977	0,5333	0,5003	3
49,1073	75,7833	0,5311	0,5003	3
49,172	75,7529	0,529	0,5003	3
49,2367	75,7213	0,5269	0,5003	3
49,3014	75,6888	0,5247	0,5003	3
49,3661	75,6552	0,5225	0,5003	3
49,4308	75,6187	0,5204	0,5003	3
49,4955	75,579	0,5182	0,5003	3
49,5602	75,5444	0,516	0,5003	3
49,6249	75,5114	0,5139	0,5003	3
49,6896	75,4806	0,5117	0,5003	3
49,7543	75,4551	0,5096	0,5003	3
49,819	75,4312	0,5074	0,5003	3
49,8837	75,4091	0,5053	0,5003	3
49,9484	75,3832	0,5031	0,5003	3
53,7657	73,7446	0,3759	0,5002	3
53,8304	73,6781	0,3737	0,5002	3
53,8951	73,6018	0,3715	0,5002	3
53,9598	73,5519	0,3694	0,5002	3
57,2595	71,8481	0,2595	0,5003	3
57,3242	71,8176	0,2573	0,5003	3
57,3889	71,7917	0,2551	0,5003	3
57,4536	71,7619	0,253	0,5003	3
57,5183	71,7347	0,2509	0,5003	3
57,583	71,7157	0,2487	0,5003	3
57,6477	71,6918	0,2465	0,5003	3
57,7124	71,6632	0,2444	0,5002	3
57,7771	71,622	0,2422	0,5002	3
57,8418	71,5796	0,2401	0,5002	3
57,9065	71,5377	0,2379	0,5002	3
57,9712	71,5063	0,2357	0,5002	3
58,0359	71,4758	0,2336	0,5003	3
58,1006	71,4458	0,2314	0,5003	3
58,1653	71,4078	0,2292	0,5002	3
58,23	71,367	0,2271	0,5002	3
58,2947	71,323	0,225	0,5002	3
58,3594	71,2824	0,2228	0,5002	3
58,4241	71,2436	0,2207	0,5002	3
58,4888	71,2076	0,2185	0,5003	3
58,5535	71,1665	0,2163	0,5003	3
58,6182	71,1275	0,2142	0,5003	3
58,6829	71,0963	0,212	0,5003	3
63,0825	66,8564	0,0654	0,5003	3

